Post,id,likes_count,from_id,from_name,message,created_time,type,link,story,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count
54,635054059945646_1514540151997028,1940,6.35E+14,Black Panther,The kingdom has come. #BlackPanther,2018-02-09T01:08:58+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1514540151997028/?type=3,NA,42,278,395,4,56,0,0
55,635054059945646_1514597245324652,3249,6.35E+14,Black Panther,"Long live the king. Check out a brand new look at Marvel Studios' ""Black Panther,"" in theaters February 16: www.fandango.com/blackpanther",2018-02-09T02:49:01+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1514597245324652/,NA,196,1365,1111,9,118,0,1
56,635054059945646_1515543098563400,1685,6.35E+14,Black Panther,"Respect the throne. See Marvel Studios' ""Black Panther"" in theaters in one week.",2018-02-10T03:00:02+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1515543098563400/?type=3,NA,38,165,291,1,43,1,1
57,635054059945646_1516101671840876,4395,6.35E+14,Black Panther,"Wakanda Forever. The exclusive RealD poster for Marvel Studios' ""Black Panther"" is here! See it in RealD 3D at Regal Cinemas everywhere this Friday and get tickets now: http://regmovi.es/2D8MJyc",2018-02-10T16:20:00+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1516101671840876/?type=3,NA,108,1085,1013,5,135,1,2
58,635054059945646_1517144608403249,1991,6.35E+14,Black Panther,"Five days until Marvel Studios' ""Black Panther."" Get your tickets now: www.fandango.com/blackpanther",2018-02-11T17:00:48+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1517144608403249/,NA,74,461,570,3,53,0,0
59,635054059945646_1518224164961960,2722,6.35E+14,Black Panther,"Four days until Marvel Studios' ""Black Panther."" Get your tickets: www.fandango.com/blackpanther",2018-02-12T18:37:09+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1518224164961960/,NA,107,840,809,2,61,1,0
60,635054059945646_1518260678291642,2401,6.35E+14,Black Panther,"Whatís your favorite track on ""Black Panther: The Album""? Listen to it now: http://smarturl.it/BlackPantherAlbum",2018-02-12T20:00:00+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1518260601624983/?type=3,NA,239,310,541,2,43,0,0
61,635054059945646_1518267201624323,663,6.35E+14,Black Panther,Watch Ghetto Gastro as they put the finishing touches on the #TasteOfWakanda for #NYFW. #BlackPanther,2018-02-12T19:36:12+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1518267201624323/,NA,15,105,143,1,30,0,0
62,635054059945646_1518335821617461,4045,6.35E+14,Black Panther,NA,2018-02-12T21:18:32+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.635567983227587.1073741826.635054059945646/1518335821617461/?type=3,Black Panther updated their cover photo.,267,2320,946,13,65,3,6
63,635054059945646_1518348561616187,1676,6.35E+14,Black Panther,"In four days, respect the throne. Do you have your tickets to Marvel Studios' ""Black Panther""? www.fandango.com/blackpanther",2018-02-12T21:38:13+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1518348561616187/,NA,138,518,444,3,47,0,1
64,635054059945646_1518487478268962,1459,6.35E+14,Black Panther,"Shani Crowe, AKA Crowezilla, gives her own take on #WakandaStyle. Share your look using the hashtag. #BlackPanther #ad",2018-02-13T01:30:03+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1518487341602309/?type=3,NA,35,144,305,2,44,0,1
65,635054059945646_1519212894863087,1241,6.35E+14,Black Panther,"Three days until Marvel Studios' ""Black Panther."" Get your tickets now: www.fandango.com/blackpanther",2018-02-13T18:00:01+0000,status,NA,NA,50,49,180,1,21,0,1
66,635054059945646_1519311611519882,3862,6.35E+14,Black Panther,The Black Panther lives! Take a look at this #BlackPantherFanArt from Jcolegraphix featuring Adidas #Futurecraft 4D. Share your fan art using the hashtag! #BlackPanther #ad,2018-02-13T20:07:58+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1519311611519882/?type=3,NA,226,845,798,23,297,0,1
67,635054059945646_1519433301507713,5292,6.35E+14,Black Panther,"The cast and director of Marvel Studios' ""Black Panther"" attended last night's #NYFW event celebrating the film!",2018-02-13T23:14:39+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1519432704841106/?type=3,NA,104,683,1361,10,78,1,2
68,635054059945646_1520275734756803,3875,6.35E+14,Black Panther,"Defend the throne. See Marvel Studios' ""Black Panther"" in theaters this Friday.",2018-02-14T19:00:02+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1520275734756803/?type=3,NA,112,507,704,2,70,1,2
69,635054059945646_1520317008086009,1486,6.35E+14,Black Panther,Simply royal. Have a look at this #BlackPantherFanArt by ROB x Steph! Share your fan art using the hashtag. #BlackPanther #ad,2018-02-14T20:00:03+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1520317008086009/?type=3,NA,38,129,401,3,41,0,2
70,635054059945646_1521346427983067,2785,6.35E+14,Black Panther,"TONIGHT. Do you have your tickets to Marvel Studios' ""Black Panther"" yet? www.fandango.com/blackpanther",2018-02-15T18:30:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1521346427983067/?type=3,NA,122,399,566,4,68,4,1
